Model,Subset Accuracy,Hamming Loss,Accuracy(exp),Precision(exp),Recall(exp),F1-Score(exp),One error,Coverage,Rangking Loss,Average precision,Accuracy(micro),Accuracy (macro),Precision(micro),Precision(macro),Recall (micro),Recall (macro),F1-Score (micro),F1-Score (macro),AUC (micro),AUC (macro)
BR-ann,0.4165656745433807,0.12709143459796907,0.86210984,0.9645201176941807,0.8889196689035688,0.9120456457138062,0.07269700754220595,6.61080961227417,0.33057189285755156,0.8698954463005066,0.8729085743427276,0.8729085624217987,0.8915557324886322,0.8768516898155212,0.9655324995517731,0.9513821601867676,0.9270638287067413,0.9120456457138062,0.6821939051151276,0.5561737537384033
BR-rf,0.3749418377876282,0.13804711550474166,0.8499608,0.9471991786442654,0.8916036458688806,0.9009038865566253,0.07272345967129915,6.612676191329956,0.3187912881374359,0.8666094720363617,0.8619528830051422,0.8619528830051422,0.8938628017902375,0.8757788300514221,0.9474844932556152,0.9277842760086059,0.9198927462100983,0.9009038865566253,0.6858424544334412,0.5548979282379151
BR-dt,0.2684731662273407,0.1829257145524025,,0.8782628958338025,0.8930762244504079,0.8631561994552612,0.07376462915670913,6.727725648880005,0.32565468847751616,0.8606384456157684,0.8170742928981781,0.8170742928981781,0.8973214745521545,0.8722571671009064,0.8822916984558106,0.8551350772380829,0.8897428989410401,0.8631561994552612,0.6827917397022247,0.5709292471408844
BR-knn,0.35725620985031126,0.1449951097369194,,0.9380860106727329,0.8908465785664189,0.8952024579048157,0.07297341483699173,6.645209836959839,0.32489427626132966,0.8643739581108093,0.855004894733429,0.8550048708915711,0.8929495275020599,0.8734818816184997,0.9392790198326111,0.9182012259960175,0.9155283391475677,0.8952024579048157,0.6814849555492402,0.5574383735656738
BR-nb,0.3327718317508698,0.23167065232992173,,0.7750807716318404,0.7762991255591675,0.8435218572616577,0.07723584878781617,6.837228536605835,0.4188741624355316,0.8821323394775391,0.7683293342590332,0.7683293402194977,0.9069175243377685,0.8952521741390228,0.8057645201683045,0.8004710972309113,0.8533533096313477,0.8435218572616577,0.6912484586238861,0.6772323489189148
BR-svm,0.23077190965414046,0.30286396890878675,,0.7910829528849117,0.7518099672821046,0.8016093254089356,0.08453072770021017,6.959555006027221,0.51541166305542,0.8351223945617676,0.6971360206604004,0.6971360206604004,0.8397873282432556,0.8341415226459503,0.7882465958595276,0.7829334974288941,0.8129002511501312,0.8016093254089356,0.5095470964908599,0.48819453120231626
BR-dnn,0.4160323739051819,0.12694273591041566,0.86203545,0.9620412683815255,0.8910333478449683,0.9113223731517792,0.07269350015355239,6.596474599838257,0.32029101252555847,0.8708773255348206,0.8730572640895844,0.8730572879314422,0.8936736404895782,0.8788149118423462,0.9628164827823639,0.9475574731826782,0.9269527316093444,0.9113223731517792,0.6882386982440949,0.5569048762321472
BR-ednn,0.40850352346897123,0.12876964658498763,0.85962945,0.9563470372701671,0.893323653336749,0.9084600627422332,0.07269383265797633,6.58898811340332,0.3111490845680237,0.8711774826049805,0.8712303519248963,0.8712303578853607,0.896093237400055,0.8807641446590424,0.9570728063583374,0.9396691262722016,0.925566703081131,0.9084600627422332,0.6944948017597199,0.5580569088459015
