Model,Subset Accuracy,Hamming Loss,Accuracy(exp),Precision(exp),Recall(exp),F1-Score(exp),One error,Coverage,Rangking Loss,Average precision,Accuracy(micro),Accuracy (macro),Precision(micro),Precision(macro),Recall (micro),Recall (macro),F1-Score (micro),F1-Score (macro),AUC (micro),AUC (macro)
BR-ann,0.41634131968021393,0.12739144414663314,0.86174995,0.8892718132742438,0.9636911548092588,0.9115922212600708,0.07268485490744878,6.614204406738281,0.3302649736404419,0.869795286655426,0.8726085484027862,0.8726085543632507,0.8918213903903961,0.8769598126411438,0.9647663772106171,0.9502324283123016,0.9268495798110962,0.9115922212600708,0.6828322947025299,0.5556431770324707
BR-rf,0.3728876829147339,0.1381921350955963,0.84995,0.8908885009532843,0.9479428301217272,0.9010520219802857,0.07279614755440758,6.617637777328492,0.32286134362220764,0.8661607205867767,0.8618078589439392,0.8618078768253327,0.8931035876274109,0.8750437378883362,0.948311197757721,0.9288661003112793,0.9198796808719635,0.9010520219802857,0.6836950004100799,0.5534361481666565
BR-dt,0.23221368193626404,0.20367799550294877,0.77599967,0.8832815022737016,0.8598929832166903,0.852553915977478,0.07571324706773933,6.757125568389893,0.3501646459102631,0.8560125768184662,0.7963219940662384,0.7963220000267028,0.8887140452861786,0.8645244240760803,0.8648192346096039,0.8409575700759888,0.8766037702560425,0.852553915977478,0.6552850723266601,0.5646967411041259
BR-knn,0.35990988910198213,0.14416677504777908,0.8439161,0.8870054386125394,0.944647275639206,0.8974330186843872,0.07296255119120296,6.65309362411499,0.33843798339366915,0.8626971006393432,0.8558332264423371,0.855833238363266,0.8890234589576721,0.8703274726867676,0.9457186996936798,0.926463508605957,0.9164949655532837,0.8974330186843872,0.6707583248615265,0.5528621077537537
BR-nb,0.3438812017440796,0.23162915259599687,0.70717865,0.726455630735837,0.7926184514714003,0.8480922162532807,0.07269298755313955,6.881272554397583,0.47842991054058076,0.874735975265503,0.7683708548545838,0.7683708608150482,0.890690678358078,0.8829631745815277,0.8242718815803528,0.8235292077064514,0.8561942458152771,0.8480922162532807,0.6532700717449188,0.6623816907405853
BR-svm,0.008847457938827574,0.6984400153160095,0.16927764,0.5054564940298203,0.17617626057144878,0.2554653584957123,0.07680602287410539,6.991621589660644,0.486574524641037,0.8402168393135071,0.30155999064445493,0.30155999809503553,0.9303682684898377,0.8546315610408783,0.17902256771922112,0.16571812927722931,0.2943396419286728,0.2554653584957123,0.5539396107196808,0.5228103399276733
BR-dnn,0.4164810836315155,0.12732813656330108,0.8617296,0.8897473252585322,0.9630938617010434,0.9114592552185059,0.07269363608083838,6.6131082534790036,0.328262597322464,0.869973486661911,0.8726718664169312,0.8726718544960022,0.8922949612140656,0.8772703826427459,0.9641986191272736,0.9494032204151154,0.9268446683883667,0.9114592552185059,0.6842265188694,0.5559736371040345
BR-ednn,0.4080272138118744,0.12934341579675673,0.85898256,0.893094099645005,0.9557144448820637,0.9077339589595794,0.07272294299046327,6.599996423721313,0.31394652724266053,0.8704666256904602,0.8706565797328949,0.8706565737724304,0.8958493590354919,0.8800229132175446,0.9566812515258789,0.9388160288333893,0.92522714138031,0.9077339589595794,0.693538773059845,0.5561822652816772
