number,value,params_criterion,params_dropout,params_lr,params_optimizer
4,0.6869097352027893,BCEwithlogit,0.10397849052111216,1.4934495777212955e-06,RMSprop
2,0.7111802101135254,BCE,0.11861624342772836,0.00022939594394612046,SGD
1,0.7625807523727417,BCE,0.2809120913447325,5.079146786239011e-06,Adam
11,0.8351823091506958,BCE,0.3444499919035916,0.09176154771723076,Adam
3,0.8540365695953369,BCEwithlogit,0.2271964863994565,0.005382715425259757,Adam
0,0.8583948612213135,BCE,0.3049688431546864,0.017920253909339386,Adam
12,0.8618391752243042,BCE,0.28154387431562733,0.009892105717173721,Adam
5,0.8632813692092896,BCE,0.24835953877513675,0.009191233022556764,Adam
13,0.8639436364173889,BCE,0.2265068899074037,0.0013417180748222127,Adam
14,0.8642498850822449,BCE,0.21060546920750994,0.0011582380377645092,Adam
15,0.8642584681510925,BCE,0.1964874365097581,0.0009768740113256984,RMSprop
17,0.8646596074104309,BCE,0.19988753369191456,0.0008580250136911575,RMSprop
21,0.8651474118232727,BCE,0.1904717657076184,0.001212592395481622,RMSprop
22,0.8665605783462524,BCE,0.15241446097930436,0.002269992644657028,RMSprop
23,0.8667201399803162,BCE,0.14725861931468107,0.0020652244280773826,RMSprop
19,0.8668212890625,BCE,0.13844670215057717,0.001153524391335519,RMSprop
38,0.8677792549133301,BCE,0.038259068958560835,0.026117972906989785,RMSprop
25,0.8687983155250549,BCE,0.0842418040788226,0.0027584044136458935,RMSprop
45,0.8690081238746643,BCE,0.031321770537951155,0.013452130337404625,RMSprop
24,0.8691496849060059,BCE,0.08748418917750829,0.003287624278238325,RMSprop
46,0.8694225549697876,BCE,0.04824415385576808,0.007105939591278926,RMSprop
27,0.86943119764328,BCE,0.0743069310499732,0.0025032466722345846,RMSprop
30,0.8695343136787415,BCE,0.058122335880696346,0.004267045745155222,RMSprop
43,0.869868814945221,BCE,0.04707200876316237,0.0046618823569915865,RMSprop
42,0.8701287508010864,BCE,0.01009205735000311,0.010154713138420667,RMSprop
37,0.8703985214233398,BCE,0.018935451724223618,0.007157539283367034,RMSprop
47,0.8708608150482178,BCE,0.026921662686411375,0.003767668965771676,RMSprop
39,0.870867908000946,BCE,0.0003672710777329301,0.010426118777822319,RMSprop
41,0.8710235357284546,BCE,0.01366956549895466,0.005634545882573509,RMSprop
35,0.8713956475257874,BCE,0.0010655729608798348,0.0071153622495521976,RMSprop
49,0.871427059173584,BCE,0.0013658519230340203,0.007379415846620023,Adam
32,0.8717987537384033,BCE,0.00582528043507111,0.0043461838660088185,RMSprop
34,0.8718058466911316,BCE,0.0004424936315749403,0.0060727464054833764,RMSprop
33,0.8718858361244202,BCE,0.002164350563555721,0.004986114971002744,RMSprop
28,0.8720042109489441,BCE,0.00689069146847876,0.0029937528982097723,RMSprop
