,Test Params,Subset Accuracy,Hamming Loss,Accuracy (Exp),Precision (Exp),Recall (Exp),F1 Score (Exp),One Error,Coverage,Ranking Loss,Average Precision,Accuracy (Micro),Accuracy (Macro),Precision (Micro),Precision (Macro),Recall (Micro),Recall (Macro),F1 Score (Micro),F1 Score (Macro),AUC (Micro),AUC (Macro)
0,0.0355284955685924,0.4091319143772125,0.1287531852722168,0.8364,0.9996,1.0094,0.9091042280197144,0.0694112333280195,6.250514507293701,0.0869627147912979,0.9293185472488404,0.8712468147277832,0.8712468147277832,0.8945527672767639,0.8797281980514526,0.959151804447174,0.9425880908966064,0.9257266521453856,0.9091042280197144,0.866664469242096,0.7819465398788452
0,0.0358108036125967,0.4096398055553436,0.1294187307357788,0.8364,0.9996,0.9879,0.9099023342132568,0.0717094425846219,6.25031328201294,0.0870591849088668,0.9305079579353333,0.8705812692642212,0.8705812692642212,0.890519380569458,0.87468421459198,0.963781714439392,0.9485400915145874,0.9257032871246338,0.9099023342132568,0.8678238987922668,0.782415509223938
0,0.1361926028903756,0.4002259373664856,0.1332430839538574,0.8364,0.9996,1.0117,0.9000380039215088,0.0722275360008502,6.2538161277771,0.0876031443476677,0.9285431504249572,0.8667569160461426,0.8667569160461426,0.9026164412498474,0.8840560913085938,0.9423982501029968,0.918119728565216,0.9220784306526184,0.9000380039215088,0.8644204139709473,0.7799659371376038
0,0.1771900798042112,0.4028530716896057,0.1320808976888656,0.8364,0.9996,1.0012,0.905709147453308,0.0692916733088899,6.255523681640625,0.0877661779522895,0.9285992383956908,0.8679190874099731,0.8679190874099731,0.8940563797950745,0.877274751663208,0.9553144574165344,0.9366834163665771,0.9236708879470824,0.905709147453308,0.8636209964752197,0.7790417671203613
0,0.2237321327000702,0.3994990885257721,0.1331855356693267,0.8364,0.9996,0.9785,0.9096357822418212,0.0699027578511079,6.260217189788818,0.0885370969772338,0.925751268863678,0.8668144345283508,0.8668144941329956,0.8823346495628357,0.8677302598953247,0.970170259475708,0.9576428532600404,0.9241700768470764,0.9096357822418212,0.863423764705658,0.7753182649612427
0,0.2299161958903894,0.3925722241401672,0.1348381340503692,0.8364,0.9996,0.994,0.9061836004257202,0.0693979488814496,6.268668174743652,0.0898589864373207,0.9269041419029236,0.8651618361473083,0.8651618957519531,0.8868902921676636,0.8712728023529053,0.9614323377609252,0.945439338684082,0.9226582050323486,0.9061836004257202,0.8605810403823853,0.7753577828407288
0,0.2480438889678175,0.3993764817714691,0.1335621029138565,0.8364,0.9996,0.9946,0.905809998512268,0.0694909400074392,6.2609968185424805,0.0885845348238945,0.9246517419815063,0.8664379119873047,0.8664379119873047,0.8902641534805298,0.8735604286193848,0.9584863185882568,0.941094160079956,0.9231164455413818,0.905809998512268,0.8607649803161621,0.774092972278595
0,0.2518720442820811,0.378665953874588,0.1397183388471603,0.8364,0.9996,0.9757,0.9052400588989258,0.0705404112864658,6.279885768890381,0.0916604548692703,0.9204273223876952,0.8602816462516785,0.8602817058563232,0.8779990077018738,0.8635132312774658,0.967406690120697,0.953783929347992,0.920536994934082,0.9052400588989258,0.8593932390213013,0.7669886946678162
0,0.3268862339600255,0.3404149115085602,0.1634525954723358,0.8364,0.9996,0.9979,0.9023221731185912,0.0719219937297412,6.318128108978272,0.0968125686049461,0.8365496397018433,0.8365473747253418,0.8365473747253418,0.8365473747253418,0.8365473747253418,1.0,1.0,0.9110000729560852,0.9023221731185912,0.7774785757064819,0.4999758303165436
0,0.3447695643571048,0.3831408321857452,0.1383234560489654,0.8364,0.9996,0.9799,0.9048305749893188,0.0716563047983421,6.283511161804199,0.0922721475362777,0.921974003314972,0.8616765141487122,0.8616765737533569,0.8816538453102112,0.8658919334411621,0.9640568494796752,0.9489288926124572,0.9210158586502076,0.9048305749893188,0.85881108045578,0.7682186365127563
0,0.3801993439043087,0.3566943705081939,0.1461385488510131,0.8364,0.9996,0.9875,0.90694260597229,0.0704208512673362,6.274071216583252,0.0907660797238349,0.9197248816490172,0.8538614511489868,0.8538614511489868,0.8622826933860779,0.8572500944137573,0.9821727275848388,0.9755761623382568,0.918331265449524,0.90694260597229,0.8563209176063538,0.7639065384864807
