number,value,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2
13,0.86153644323349,0.3833478648588303,0.39273687048368183,0.37646670903836643,0.015412102453410625,,
2,0.8626173138618469,0.3376362859809644,0.3170594536830115,0.4515915055545926,0.015382136218249798,,
44,0.8627499341964722,0.4091228147226231,0.4197547593765128,0.26320058083972214,0.015331177972257137,0.015374592505395412,
17,0.8634654879570007,0.42610800511796854,0.22822293290730356,0.33286132315541467,0.015239343978464603,0.01529261376708746,
45,0.8636431097984314,0.36430069357093386,0.29872931624076665,0.32431431928704124,0.015333257615566254,0.015310406684875488,
11,0.8647690415382385,0.3576645976731173,0.3277567617522121,0.30544331179804357,0.015209227800369263,0.015267770737409592,0.015314928255975246
0,0.8676701188087463,0.49876331222588766,0.12300947214747354,0.07889421808424685,,,
1,0.8692013621330261,0.10881628315448705,0.21645253628714312,0.28275113817466674,0.015092143788933754,0.015110588632524014,0.015019702725112438
6,0.8700608611106873,0.36569568304532435,0.3502475103486954,0.24524711523119352,0.015116808004677296,0.015074881725013256,
4,0.8707488775253296,0.2822561966848435,0.1877127859630215,0.05954025204453273,0.014965531416237354,0.01492516603320837,
