Model,Subset Accuracy,Hamming Loss,Accuracy(exp),Precision(exp),Recall(exp),F1-Score(exp),One error,Coverage,Rangking Loss,Average precision,Accuracy(micro),Accuracy (macro),Precision(micro),Precision(macro),Recall (micro),Recall (macro),F1-Score (micro),F1-Score (macro),AUC (micro),AUC (macro)
BR-ann,0.14025102257728578,0.20907386988401414,0.7733826,0.9240969,0.8312712720327788,0.7117986083030701,0.07269295370072688,6.575504541397095,0.16659028381109237,0.8365487277507782,0.7909261345863342,0.7909261107444763,0.9240392982959748,0.6851660072803497,0.8190677404403687,0.7428571581840515,0.867196387052536,0.7117986083030701,0.733296662569046,0.5
BR-rf,0.41413637101650236,0.12877805680036544,0.8608925,0.88462675,0.9679913417064642,0.912165904045105,0.07269284580224136,6.65568470954895,0.3557843118906021,0.8670666873455047,0.8712219536304474,0.8712219357490539,0.8869531810283661,0.8724818170070648,0.9696471095085144,0.9570619165897369,0.9264583706855773,0.912165904045105,0.6685631811618805,0.5521671056747437
BR-dt,0.24919866472482682,0.18954005539417268,0.7920234,0.88510925,0.8798123899919134,0.861898785829544,0.075079945751818,6.7391807556152346,0.3460483431816101,0.8564830780029297,0.8104599416255951,0.810459953546524,0.8891296148300171,0.8649088680744171,0.8836091160774231,0.8590287387371063,0.8863599896430969,0.861898785829544,0.6598461031913757,0.5609817624092102
BR-knn,0.3398482948541641,0.15012695491313935,0.83750486,0.88987863,0.9340490788221064,0.8891144394874573,0.07285584144575924,6.652010536193847,0.3241544395685196,0.8603655397891998,0.8498730540275574,0.8498730421066284,0.8914501547813416,0.8696455538272858,0.9343351066112519,0.9101770222187042,0.9123776972293853,0.8891144394874573,0.6759616792201996,0.5476277828216553
BR-nb,0.12097091600298882,0.5356415271759033,0.41941446,0.76196605,0.45586781131768905,0.572976616024971,0.09514985580383734,6.969226312637329,0.5092055261135101,0.850547707080841,0.4643584668636322,0.4643584728240967,0.8015844345092773,0.8690907180309295,0.47773815393447877,0.5171956598758698,0.5977254629135131,0.572976616024971,0.4367247611284256,0.5636157810688018
BR-svm,0.16723645180463792,0.21296204179525374,0.7693865,0.9064703,0.8409370750684035,0.7984481513500213,0.0719109601563294,6.664500999450683,0.24467756003141403,0.8434600353240966,0.7870379507541656,0.7870379447937011,0.9047064185142517,0.8507955193519592,0.8335262835025787,0.7804100036621093,0.8674096524715423,0.7984481513500213,0.691355949640274,0.5269067764282227
BR-dnn,0.11747862240299582,0.22607549130916596,0.75421923,0.9274272,0.8045987307222073,0.6866599678993225,0.07269409046882613,6.612408018112182,0.15693719387054444,0.8365487098693848,0.7739245116710662,0.7739245176315308,0.927331268787384,0.6623794853687286,0.7918044030666351,0.7142857313156128,0.8542256712913513,0.6866599678993225,0.7370681464672089,0.5
BR-ednn,0.12224741526879371,0.2230343446135521,0.75830877,0.9219373,0.8141734441942207,0.6974392175674439,0.0726925174495339,6.611704874038696,0.17583572268486022,0.8365487098693848,0.7769656598567962,0.7769656538963318,0.9218550741672515,0.6710429131984711,0.8021613776683807,0.7285714447498322,0.8571851849555969,0.6974392175674439,0.7252071380615235,0.5
