epoch,accuracy,loss,val_accuracy,val_loss
0,0.516518771648407,0.016684042289853096,0.40606868267059326,0.015618742443621159
1,0.4785435199737549,0.01624460518360138,0.41133740544319153,0.015533308498561382
2,0.4658889174461365,0.016260428354144096,0.2978070080280304,0.015594271011650562
3,0.48475703597068787,0.016265302896499634,0.42417359352111816,0.015614520758390427
4,0.4748586416244507,0.016272258013486862,0.38719138503074646,0.015563659369945526
5,0.46687278151512146,0.016294021159410477,0.25481128692626953,0.015619305893778801
6,0.467962384223938,0.016293436288833618,0.4012872874736786,0.015610982663929462
7,0.46923360228538513,0.0163094662129879,0.4168727993965149,0.015627536922693253
8,0.47024965286254883,0.016313206404447556,0.4237046539783478,0.015608364716172218
9,0.4807801842689514,0.016314618289470673,0.35228726267814636,0.015602655708789825
