epoch,accuracy,loss,val_accuracy,val_loss
0,0.34093835949897766,0.01593201421201229,0.36905890703201294,0.015167785808444023
1,0.3507447838783264,0.01563892886042595,0.29255667328834534,0.015212721191346645
2,0.3470875024795532,0.015635373070836067,0.32748839259147644,0.015191858634352684
3,0.35244816541671753,0.015645382925868034,0.3934164047241211,0.015146013349294662
4,0.3548526465892792,0.01564343087375164,0.3143487572669983,0.015204212628304958
5,0.3485586941242218,0.01563865691423416,0.3837708532810211,0.015170709230005741
6,0.35394465923309326,0.015632720664143562,0.43336859345436096,0.01519137341529131
7,0.3603719472885132,0.015619389712810516,0.39044642448425293,0.01517890952527523
8,0.36814168095588684,0.015623013488948345,0.281485915184021,0.015211294405162334
9,0.3545515239238739,0.01561987679451704,0.3934439718723297,0.015135440975427628
