epoch,accuracy,loss,val_accuracy,val_loss
0,0.4697416126728058,0.01600298471748829,0.5297595262527466,0.015011852607131004
1,0.39595651626586914,0.01544079277664423,0.2946898937225342,0.01488879881799221
2,0.36526596546173096,0.015356626361608505,0.32271620631217957,0.014836986549198627
3,0.3716541826725006,0.015346749685704708,0.4076777994632721,0.014845083467662334
4,0.3842397928237915,0.015341694466769695,0.31554409861564636,0.014925660565495491
5,0.3493540585041046,0.015335452742874622,0.36626362800598145,0.01489125844091177
6,0.3653993010520935,0.015351684764027596,0.40555375814437866,0.014884606935083866
7,0.3554411232471466,0.01535075157880783,0.41270744800567627,0.014936001040041447
8,0.3480575680732727,0.015364998951554298,0.29661163687705994,0.014890027232468128
9,0.34030160307884216,0.015366610139608383,0.28418922424316406,0.014908713288605213
