epoch,accuracy,loss,val_accuracy,val_loss
0,0.593483030796051,0.017123941332101822,0.4301227629184723,0.01626640185713768
1,0.6112201809883118,0.016881778836250305,0.004183715675026178,0.016171719878911972
2,0.6076778173446655,0.016885431483387947,0.38488346338272095,0.016207585111260414
3,0.6128522753715515,0.01688467338681221,0.42490920424461365,0.01627849042415619
4,0.6189554333686829,0.01687508448958397,0.4826996326446533,0.016382884234189987
5,0.6056985855102539,0.016880715265870094,0.4199622869491577,0.01626931130886078
6,0.5840513110160828,0.016888616606593132,0.45548251271247864,0.01603240892291069
7,0.6118983030319214,0.016891663894057274,0.5214656591415405,0.016250211745500565
8,0.616334855556488,0.016889264807105064,0.004248080775141716,0.01619831472635269
9,0.6188681125640869,0.016900820657610893,0.4461680054664612,0.016243036836385727
