epoch,accuracy,loss,val_accuracy,val_loss
0,0.40133556723594666,0.016037004068493843,0.20325502753257751,0.014938072301447392
1,0.3778125047683716,0.015404761768877506,0.17753666639328003,0.014904766343533993
2,0.3667072653770447,0.015312090516090393,0.3105972111225128,0.01483491063117981
3,0.36709117889404297,0.015275008045136929,0.3869799077510834,0.014803528785705566
4,0.354854941368103,0.01524130254983902,0.3134108781814575,0.014809787273406982
5,0.3391912877559662,0.015228542499244213,0.4283665120601654,0.01485920324921608
6,0.31730955839157104,0.015227222815155983,0.4135258197784424,0.014771434478461742
7,0.3295917510986328,0.015229986049234867,0.39937475323677063,0.014865128323435783
8,0.33137327432632446,0.01524735800921917,0.2664797008037567,0.01486305333673954
9,0.32054847478866577,0.015250765718519688,0.32753437757492065,0.014839989133179188
