epoch,accuracy,loss,val_accuracy,val_loss
0,0.4028182625770569,0.016183122992515564,0.42438510060310364,0.015356320887804031
1,0.43877753615379333,0.01580839976668358,0.37522873282432556,0.015197082422673702
2,0.37956875562667847,0.01579432561993599,0.3235805332660675,0.015252947807312012
3,0.3876281678676605,0.01580394245684147,0.43464669585227966,0.015298170037567616
4,0.38759368658065796,0.0157981775701046,0.21222013235092163,0.015284853056073189
5,0.3927152752876282,0.01580268144607544,0.37419888377189636,0.01528025884181261
6,0.3899269104003906,0.015806308016180992,0.4017654359340668,0.01528831385076046
7,0.3970300257205963,0.01581394672393799,0.4102523922920227,0.01528898160904646
8,0.3896602392196655,0.015810569748282433,0.34837019443511963,0.015247638337314129
9,0.397728830575943,0.015814322978258133,0.37030941247940063,0.015275973826646805
